,ciclo_lec,departamento,materia,catedra,profesor,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_11,percent_12,N,url
0,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Climatología Sinóptica (Ciencias de la Atmósfera),A,Bettolli Maria Laura,4.9,4.6,5.0,4.9,4.5,4.6,4.4,4.9,4.9,4.9,4.9,4.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4402/13395/1240
1,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Climatología Sinóptica (Ciencias de la Atmósfera),A,Bettolli Maria Laura,4.9,4.6,5.0,4.9,4.5,4.6,4.4,4.9,4.9,4.9,4.9,4.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4402/13395/1240
2,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Climatología Sinóptica (Ciencias de la Atmósfera),A,Oruezabal Victoria Agustina,5.0,4.9,5.0,4.9,5.0,5.0,4.7,4.8,4.9,5.0,4.9,4.9,100.0,88.0,100.0,100.0,88.0,100.0,88.0,100.0,100.0,75.0,100.0,88.0,8,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4402/13395/6795
3,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Climatología Sinóptica: Métodos y Aplicaciones en el sur de Sudamérica (Doctorado),A,Bettolli Maria Laura,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/5433/13396/1240
4,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Climatología Sinóptica: Métodos y Aplicaciones en el sur de Sudamérica (Doctorado),A,Oruezabal Victoria Agustina,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/5433/13396/6795
5,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Climatología Sinóptica: Métodos y Aplicaciones en el sur de Sudamérica (Doctorado),A,Bettolli Maria Laura,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/5433/13396/1240
6,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Convección y Fenómenos Severos 1 (Ciencias de la Atmósfera),A,Cancelada Maite,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4404/13383/4212
7,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Convección y Fenómenos Severos 1 (Ciencias de la Atmósfera),A,Salio Paola Veronica,5.0,5.0,5.0,5.0,5.0,5.0,4.9,5.0,5.0,5.0,5.0,4.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4404/13383/1376
8,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Convección y Fenómenos Severos 1 (Ciencias de la Atmósfera),A,Ruiz Juan José,5.0,5.0,5.0,5.0,4.6,4.5,4.5,5.0,5.0,5.0,5.0,4.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4404/13383/1393
9,3er. Bimestre 2024,Departamento de Ciencias de la Atmósfera y los Océanos,Procesos Atmosféricos en Pequeña Escala (Ciencias de la Atmósfera),A,Oliveri Paula Carolina,4.9,4.9,4.9,4.4,4.0,4.0,4.3,4.2,4.0,4.7,4.7,4.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,91.0,23,https://visualizador-encuestas-finales.exactas.uba.ar/126/12/4424/13772/5340
